dept,full,link,name,time,date,hospital
PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADIAJgBEAHQAQwBvAGQAZQA9ADAAMQA5ADEANgA1ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMAAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA1ACYAUwByAHYASQBEAD0AMQA5ADkANQA0ADAAMAAmAFQAZQBtAHAASQBEAD0AMQA2ADEANAA3AA2,單家祁,evening,104.02.25,ntuh
PSY,可掛號,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADIAJgBEAHQAQwBvAGQAZQA9ADgAOAA4ADgAOAA4ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMwAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMQAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgAzACYAUwByAHYASQBEAD0AMQA5ADkAMwA1ADgAMgAmAFQAZQBtAHAASQBEAD0AOQA0ADQANAA1,總醫師,evening,104.02.23,ntuh
PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMAA4ADMAMAAzACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMAAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA2ACYAUwByAHYASQBEAD0AMQA5ADkANgA0ADcAMQAmAFQAZQBtAHAASQBEAD0AMQA2ADEAMwA1AA2,廖士程,morning,104.02.26,ntuh
PSY,可掛號,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADkAOQA5ADkAOQA5ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIAMQAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA2ACYAUwByAHYASQBEAD0AMQA5ADkANgA5ADYAMwAmAFQAZQBtAHAASQBEAD0AMwAzADUANwA1,住院醫師,morning,104.02.26,ntuh
PSY,可掛號,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADkAOQA5ADkAOQA5ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIAMQAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA1ACYAUwByAHYASQBEAD0AMQA5ADkANQA5ADAANgAmAFQAZQBtAHAASQBEAD0AMwAzADkAMwA1,住院醫師,morning,104.02.25,ntuh
Chld_PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADcAMAAzADgANwA2ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADIAOAAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AQwBIAEQASAAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA0ACYAUwByAHYASQBEAD0AMQA5ADkANAAyADkAMQAmAFQAZQBtAHAASQBEAD0AMQA2ADUAMwA1AA2,蔡芳茹,morning,104.02.24,ntuh
Chld_PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADIAJgBEAHQAQwBvAGQAZQA9ADcAMAAzADYANwA3ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADIAOAAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AQwBIAEQASAAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA2ACYAUwByAHYASQBEAD0AMQA5ADYAMAA5ADEAMgAmAFQAZQBtAHAASQBEAD0AMQA2ADQAMQA1AA2,陳俊元,evening,104.02.26,ntuh
Chld_PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADIAJgBEAHQAQwBvAGQAZQA9ADEAMAAzADEANQA3ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADIAOAAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AQwBIAEQASAAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA1ACYAUwByAHYASQBEAD0AMQA5ADkANQAzADcANQAmAFQAZQBtAHAASQBEAD0AMQA2ADUAMQA5AA2,徐志雲,evening,104.02.25,ntuh
Chld_PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADIAJgBEAHQAQwBvAGQAZQA9ADAAMQA5ADIAMQAxACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADIAOAAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AQwBIAEQASAAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA0ACYAUwByAHYASQBEAD0AMQA5ADkANAAzADMANQAmAFQAZQBtAHAASQBEAD0AMQA0ADQAMQA3AA2,張立人,evening,104.02.24,ntuh
Chld_PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMAAyADYAMwAyACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADIAOAAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AQwBIAEQASAAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA2ACYAUwByAHYASQBEAD0AMQA5ADkANgA3ADIANgAmAFQAZQBtAHAASQBEAD0AOQA4ADUAOQA1,蔡文哲,morning,104.02.26,ntuh
Chld_PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMAA1ADIANwAyACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADIAOAAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AQwBIAEQASAAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA1ACYAUwByAHYASQBEAD0AMQA5ADkANQAzADkANAAmAFQAZQBtAHAASQBEAD0AMQA2ADIAMAAyAA2,商志雍,morning,104.02.25,ntuh
Chld_PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMQA3ADAAMAA0ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADIAOAAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AQwBIAEQASAAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA0ACYAUwByAHYASQBEAD0AMQA5ADkANAAyADkANwAmAFQAZQBtAHAASQBEAD0AMQA2ADMANAAyAA2,林祥源,morning,104.02.24,ntuh
Chld_PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMAAyADYAMwAyACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANQAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADIAOAAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AQwBIAEQASAAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgAzACYAUwByAHYASQBEAD0AMQA5ADkAMwAyADkANwAmAFQAZQBtAHAASQBEAD0AMQA2ADMAMgAyAA2,蔡文哲,morning,104.02.23,ntuh
PSY,可掛號,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADIAJgBEAHQAQwBvAGQAZQA9ADAAMQAwADUAMwA0ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMAAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA1ACYAUwByAHYASQBEAD0AMQA5ADkANQA1ADMAOAAmAFQAZQBtAHAASQBEAD0AMQAyADIANwA0AA2,吳建昌,evening,104.02.25,ntuh
